rate_COIN,TLT,EDTM Uncer
2174.66068768945,0.931810193321617,0.003461812935605
2161.43308184601,0.934920363075869,0.003338514932286
2185.71838137141,0.92855927878891,0.00348595025207
2175.40213450595,0.929105097127677,0.003430844814838
671.093703152762,0.961434931152293,0.001412914801114
227.320210680422,0.983464697128369,0.000954666156407
227.020110895837,0.979951607328033,0.000930723264282
113.794176514468,0.99909338168631,0.000641075957558
113.381570571196,0.986273364485981,0.000667411857516
112.659560400549,0.988747352783134,0.000596389109717
1336.6668219665,0.944026989725502,0.002929761259706
1330.25843799514,0.941090619609924,0.002795715471103
422.14350731537,0.971783689489751,0.001109297631223
