rate_COIN,CoinBlocking_Corr,CoinBlocking_err
909.407804057673,0.972281444677257,0.002722726050401
905.913070214224,0.972580265460308,0.002798575465762
908.197618166316,0.972209703463733,0.002802318790316
619.354805618698,0.977503889369058,0.002304733716776
618.404611601938,0.978012124738078,0.002251201668435
599.849416188541,0.977863397222584,0.002364458474493
594.728707350007,0.977861999206156,0.002321208571578
342.587766495592,0.983614949728771,0.001714480641885
340.865515720487,0.98430806403306,0.00165314956996
340.422826352318,0.984424107247304,0.001678044363007
157.070245410153,0.989887165961608,0.001268798519644
156.647412497983,0.989951633941661,0.00133332829645
157.680290014128,0.990445550836388,0.001280936352778
158.139925335207,0.99068332806074,0.001136204895876
158.067979427572,0.98991191065872,0.001262626310459
157.448371283353,0.98873878177568,0.003135753528463
96.4119711677354,0.992904743720821,0.000996719741793
95.667504735919,0.992629438205158,0.000974956290106
96.1749015605752,0.992247114882652,0.001069821238717
95.8460786058731,0.992653141862274,0.001077985998788
96.8562461606765,0.992648550594918,0.001017124937863
96.5173720580667,0.992542807609186,0.000949560820884
96.3196713431484,0.992908978440277,0.000982219366014
96.4343132505915,0.992682993794959,0.001015899382052
96.6813959999479,0.99247307031825,0.001024585737211
